"","grpvar","term","grp","condval","condsd"
"32","police_id","(Intercept)","109542",0.0502300901427379,0.314562173338915
"33","police_id","(Intercept)","109543",0.41736163974556,0.270998037554074
"34","police_id","(Intercept)","109544",-0.242288495511004,0.283450634536651
"35","police_id","(Intercept)","109545",0.351419152341525,0.26005450144911
"36","police_id","(Intercept)","109546",0.360331222144968,0.270998037554074
"37","police_id","(Intercept)","109547",-0.336557842879491,0.26005450144911
"38","police_id","(Intercept)","109548",-0.0501460830414794,0.358842240538798
"39","police_id","(Intercept)","109550",0.683802872163204,0.270998037554074
"40","police_id","(Intercept)","109551",-0.333719139421577,0.283450634536651
"41","police_id","(Intercept)","110059",0.93057967916935,0.270998037554074
"42","police_id","(Intercept)","110060",-0.236774374149034,0.283450634536651
"43","police_id","(Intercept)","110062",-0.0279377521477542,0.283450634536651
"44","police_id","(Intercept)","110063",0.971867343498958,0.270998037554074
"45","police_id","(Intercept)","110064",-0.386272247884115,0.283450634536651
"46","police_id","(Intercept)","110066",-0.103069492539326,0.270998037554074
"47","police_id","(Intercept)","110067",-0.33501536254894,0.314562173338915
"48","police_id","(Intercept)","110068",0.238831747423969,0.283450634536651
"49","police_id","(Intercept)","110069",-0.154969402057814,0.389373695825199
"50","police_id","(Intercept)","110070",-0.274810984293726,0.270998037554074
"51","police_id","(Intercept)","110071",0.137609509319421,0.270998037554074
"52","police_id","(Intercept)","110073",-0.232645692061303,0.297794386146471
"53","police_id","(Intercept)","110074",-0.363030151112689,0.270998037554074
"54","police_id","(Intercept)","110077",-0.324501922748312,0.283450634536651
"55","police_id","(Intercept)","110079",0.496475156923713,0.334523951544286
"56","police_id","(Intercept)","110081",0.0915572604798556,0.283450634536651
"57","police_id","(Intercept)","110083",0.121065524487846,0.270998037554074
"58","police_id","(Intercept)","110084",-0.179837219883564,0.314562173338915
"59","police_id","(Intercept)","110090",0.286630773382997,0.270998037554074
"60","police_id","(Intercept)","110092",0.662700028517493,0.334523951544286
"61","police_id","(Intercept)","110094",0.586300802785483,0.270998037554074
"62","police_id","(Intercept)","110096",-0.160062080610948,0.270998037554074
"63","police_id","(Intercept)","110097",-0.0364854578200098,0.270998037554074
"64","police_id","(Intercept)","120548",0.117637530733357,0.389373695825199
"65","police_id","(Intercept)","134862",-0.195900773864833,0.283450634536651
"66","police_id","(Intercept)","134864",0.424989036424976,0.297794386146471
"67","police_id","(Intercept)","134865",0.120170426881242,0.297794386146471
"68","police_id","(Intercept)","134867",-0.278521012959255,0.297794386146471
"69","police_id","(Intercept)","134868",-0.311451690188092,0.283450634536651
"70","police_id","(Intercept)","134869",-0.154182778086494,0.283450634536651
"71","police_id","(Intercept)","134870",0.0720026126990199,0.297794386146471
"72","police_id","(Intercept)","134871",0.438128616239935,0.283450634536651
"73","police_id","(Intercept)","134872",0.168087877699209,0.297794386146471
"74","police_id","(Intercept)","134874",0.0175533998592298,0.297794386146471
"75","police_id","(Intercept)","134875",-0.402248499758101,0.314562173338915
"76","police_id","(Intercept)","134878",0.0605031566680597,0.283450634536651
"77","police_id","(Intercept)","134879",-0.375475764487195,0.297794386146471
