"","police_id","n"
"566","226092",17
"567","226093",2
"568","226098",15
"569","226099",13
"570","226108",9
"571","226117",15
"572","226134",15
"573","226135",6
"574","226136",5
"575","226142",3
"576","226143",3
"577","226144",2
"578","226147",9
"579","226149",5
"580","226150",15
"581","226156",13
"582","226161",7
"583","226163",14
"584","226164",16
"585","226165",9
"586","226167",3
"587","226168",12
"588","226169",14
"589","226171",14
"590","226175",14
"591","226178",4
"592","226184",14
"593","226185",7
"594","226187",14
"595","226194",17
"596","226195",7
"597","226204",15
"598","226205",6
"599","226207",16
"600","226208",6
"601","226214",8
"602","226219",4
"603","226220",10
"604","226226",13
"605","226264",14
"606","226266",12
"607","226268",16
"608","226275",5
"609","226276",3
"610","226306",15
"611","226308",13
"612","226310",3
"613","226312",16
"614","226316",11
"615","226370",5
"616","226405",14
"617","226424",16
"618","226454",5
"619","226456",10
"620","226457",14
"621","226458",10
"622","226462",17
"623","226464",5
"624","226471",11
"625","226476",1
"626","226477",15
"627","226481",12
"628","226482",13
"629","226484",1
"630","226485",15
"631","226486",8
"632","226496",2
"633","226501",12
"634","226502",7
"635","226506",16
"636","226509",9
"637","226512",16
"638","226514",2
"639","226516",9
"640","226517",6
"641","226519",15
"642","226521",5
"643","226522",3
"644","226524",15
"645","226530",2
"646","226532",11
"647","226538",14
"648","226539",6
"649","226540",3
"650","226542",14
"651","226547",10
"652","226548",2
"653","226549",4
"654","226551",12
"655","226552",17
"656","226560",14
"657","226562",12
"658","226563",4
"659","226569",14
"660","226571",3
"661","226572",5
"662","226575",13
"663","226576",15
"664","226577",15
"665","226578",3
"666","226579",5
"667","226580",2
"668","226581",7
"669","226582",3
"670","226584",7
"671","226588",7
"672","226590",3
"673","226600",15
"674","226601",7
"675","226605",15
"676","226606",2
"677","226607",7
"678","226608",5
"679","226613",3
"680","226615",17
"681","226618",4
"682","226622",15
"683","226624",10
"684","226626",16
"685","226629",11
"686","226631",5
"687","226637",14
"688","226640",16
"689","226641",6
"690","226647",12
"691","226648",15
"692","226650",6
"693","226653",7
"694","226655",16
"695","226664",3
"696","226665",7
"697","226669",14
"698","226670",7
"699","226671",17
"700","226672",3
"701","226673",15
"702","226675",10
